"account_id","loan_loan_id","loan_date","loan_amount","loan_duration","loan_payments","loan_status","acc_district_id","acc_frequency","day_before_loan","sum_amount","sum_amount_in","sum_amount_out","sum_out_household","sum_out_insurance","sum_in_interest_credited","sum_out_payment_for_statement","sum_out_sanction_interest_neg_bal","count_out_sanction_interest_neg_bal","count_monthly_payment_trans","current_monthly_payment_amount_out","current_monthly_payment_out_household","current_monthly_payment_out_insurance","current_monthly_payment_out_payment_for_statement","current_monthly_payment_in_interest_credited","sum_other_sum_amount","sum_other_sum_amount_in","sum_other_sum_amount_out","count_other_trans","latest_balance"
339,5043,1997-12-25,468060,60,7801,"C",46,"weekly",470,49409.5,4122.5,45287,44957,0,4122.5,330,0,0,37,4117,4087,0,30,286.5,1502643,819521,683122,75,102734.6
344,5044,1994-12-21,100980,60,1683,"C",54,"monthly",385,44427.4,1659.6,42767.8,42651,0,1659.6,116.8,0,0,29,4753.6,4739,0,14.6,161.5,323846,206046,117800,41,48637.7
347,5045,1995-05-01,187224,24,7801,"B",65,"monthly",504,2838,2662.6,175.4,0,0,2662.6,175.2,0.2,1,30,29.2,0,0,29.2,164.4,950617,499481,451136,58,50832.1
349,5046,1998-09-09,42816,12,3568,"C",72,"monthly",458,47907.7,1147.1,46760.6,46600,0,1147.1,160.6,0,0,36,4674.6,4660,0,14.6,68.7,224590,144450,80140,49,18696.6
378,5051,1997-10-11,230400,60,3840,"C",68,"monthly",446,115739.1,4527.7,111211.4,110981,26,4527.7,204.4,0,0,55,8553.6,8537,2,14.6,259.1,1999637,1077799,921838,113,49277.3
426,5060,1994-07-19,252060,60,4201,"D",1,"monthly",232,38834.5,1276.5,37558,37485,0,1276.5,73,0,0,17,7511.6,7497,0,14.6,201.6,670298,388338,281960,44,70096.5
440,5061,1998-03-13,84288,48,1756,"C",29,"monthly",446,59910.3,1514.3,58396,58250,0,1514.3,146,0,0,34,5839.6,5825,0,14.6,111.7,445208,270808,174400,51,39526.2
442,5063,1997-07-10,357840,48,7455,"D",54,"monthly",102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10100,10100,0,2,10100
472,5072,1997-04-28,196800,24,8200,"D",8,"monthly",199,988.4,973.8,14.6,0,0,973.8,14.6,0,0,6,14.6,0,0,14.6,191.7,603007,320107,282900,17,38166.1
501,5082,1996-10-24,262980,60,4383,"C",13,"monthly",369,2015.4,1869.4,146,0,0,1869.4,146,0,0,21,14.6,0,0,14.6,138.3,407358,240858,166500,35,76081.3
525,5086,1997-07-16,210384,48,4383,"C",70,"monthly",483,41410.7,2599.1,38811.6,38724,0,2599.1,87.6,0,0,26,6468.6,6454,0,14.6,200.9,420291,251491,168800,33,46478.3
544,5088,1996-08-22,91152,24,3798,"A",32,"monthly",465,2653.7,2507.7,146,0,0,2507.7,146,0,0,24,14.6,0,0,14.6,228.1,725223,381120,344103,53,39378.8
666,5103,1997-11-28,12540,12,1045,"A",27,"monthly",623,76953.2,3369.2,73584,59040,14325,3369.2,219,0,0,64,4905.6,3936,955,14.6,213.2,561917,343347,218570,88,54562.2
675,5110,1997-04-01,102240,60,1704,"C",58,"monthly",607,98128.6,2525,95603.6,95370,0,2525,233.6,0,0,51,6372.6,6358,0,14.6,149.5,373887,250867,123020,75,34768.4
718,5117,1997-08-20,76944,12,6412,"A",1,"monthly",535,76650.5,2067.5,74583,7986,66451,2067.5,146,0,0,46,6781.6,726,6041,14.6,241.3,838854,485313,353541,64,59256.4
785,5124,1998-02-12,156096,36,4336,"C",21,"weekly",187,16206.9,1356.9,14850,14790,0,1356.9,60,0,0,10,7425,7395,0,30,221.6,298229,170097,128132,23,28471.9
789,5125,1995-11-23,73056,48,1522,"C",39,"monthly",290,11700.7,862.7,10838,10765,0,862.7,73,0,0,19,2167.6,2153,0,14.6,98,113011,72266,40745,32,21545.7
790,5126,1994-07-24,208128,48,4336,"B",54,"monthly",439,1941.2,1824.4,116.8,0,0,1824.4,116.8,0,0,21,14.6,0,0,14.6,141.9,602357,341062,261295,43,81474.6
808,5128,1996-04-11,215616,48,4492,"D",69,"monthly",303,53943.9,1657.3,52286.6,52200,0,1657.3,73,13.6,2,30,11728.2,11700,0,14.6,73.5,267750,163510,104240,31,8640.6
813,5130,1994-05-11,24312,12,2026,"A",16,"monthly",455,2057,1896.4,160.6,0,0,1896.4,160.6,0,0,26,14.6,0,0,14.6,139.4,384002,205364,178638,52,28461.9
816,5131,1995-01-08,48624,24,2026,"A",52,"monthly",521,58432.2,4089,54343.2,54168,0,4089,175.2,0,0,41,4528.6,4514,0,14.6,334.9,1366720,732484,634236,76,47993.6
817,5132,1995-02-17,538500,60,8975,"C",5,"monthly",336,33600.2,1277.6,32322.6,32235,0,1277.6,87.6,0,0,23,4619.6,4605,0,14.6,108.1,459396,256856,202540,35,23271
825,5134,1997-02-02,53076,12,4423,"A",19,"monthly",333,57274.2,1762,55512.2,55410,0,1762,102.2,0,0,24,9249.6,9235,0,14.6,91.2,328656,201736,126920,41,21080.3
846,5136,1996-07-28,187104,24,7796,"A",72,"monthly",141,905.2,876,29.2,0,0,876,29.2,0,0,6,14.6,0,0,14.6,245.6,489631,287831,201800,19,133377.7
854,5138,1995-05-30,87216,48,1817,"C",62,"monthly",616,54099.3,2280.3,51819,6112,45488,2280.3,219,0,0,66,3239.6,382,2843,14.6,106,384084,230209,153875,82,29638.3
873,5140,1998-02-24,178500,60,2975,"C",73,"monthly",304,17225.6,829.6,16396,5268,11055,829.6,73,0,0,25,3103.6,878,2211,14.6,62.4,156404,95684,60720,39,19397.6
915,5145,1995-09-16,309552,48,6449,"C",72,"monthly",241,58516.1,1308.3,57207.8,57164,0,1308.3,43.8,0,0,14,14305.6,14291,0,14.6,198.9,551499,329599,221900,21,51799.4
938,5147,1998-05-21,22260,60,371,"C",70,"monthly",159,362.6,362.6,0,0,0,362.6,0,0,0,4,0,0,0,0,119.4,48515,39715,8800,11,31277.6
940,5148,1996-05-29,284280,60,4738,"C",37,"monthly",561,4529,4339.2,189.8,0,0,4339.2,189.8,0,0,30,14.6,0,0,14.6,263.8,1385778,738123,647655,64,94617.3
960,5151,1995-05-24,189060,60,3151,"C",4,"after_transaction",203,19712.5,1692.5,18020,17820,0,1692.5,200,0,0,11,6040,5940,0,100,343.2,515291,300282,215009,19,68945.6
993,5154,1998-07-01,108720,60,1812,"C",6,"monthly",594,4967.6,4894.6,73,0,0,4894.6,73,0,0,24,29.2,0,0,29.2,520.6,631973,334245,297728,40,41338.5
1004,5158,1998-04-11,188532,36,5237,"C",70,"monthly",648,4698.1,4464.5,233.6,0,0,4464.5,233.6,0,0,35,14.6,0,0,14.6,202.1,2287958,1152936,1135022,113,22144.8
1011,5160,1995-12-18,204000,60,3400,"C",45,"monthly",366,58355.2,1573,56782.2,56680,0,1573,102.2,0,0,26,7099.6,7085,0,14.6,126,442274,267738,174536,39,45077.7
1012,5161,1994-10-28,98184,24,4091,"A",65,"monthly",111,976.2,976.2,0,0,0,976.2,0,0,0,6,0,0,0,0,481.9,129380,98680,30700,8,68956.1
1068,5169,1998-09-24,253200,60,4220,"C",52,"monthly",586,83349.2,2609.8,80739.4,71055,9480,2609.8,204.4,0,0,62,5383.6,4737,632,14.6,158.9,709489,418111,291378,72,48603.2
1071,5170,1994-01-20,253200,60,4220,"C",68,"weekly",255,1863.7,1713.7,150,0,0,1713.7,150,0,0,13,30,0,0,30,69.5,486543,283065,203478,28,81150.6
1083,5172,1998-04-16,50976,36,1416,"C",45,"monthly",496,81832.5,1934.3,79898.2,23160,56563,1934.3,175.2,0,0,53,6295.6,1930,4351,14.6,82.3,366027,232652,133375,70,21313.1
1093,5174,1997-06-13,385104,48,8023,"C",54,"monthly",516,136124.1,2555.9,133568.2,133393,0,2555.9,175.2,0,0,41,10275.6,10261,0,14.6,134.3,1600321,891536,708785,61,51738.6
1106,5176,1994-11-12,192552,24,8023,"B",20,"weekly",440,1646.4,1466.4,180,0,0,1466.4,180,0,0,20,30,0,0,30,110.4,292849,156894,135955,31,22225.5
1166,5189,1994-02-07,149040,48,3105,"A",11,"monthly",292,23280.6,1222.6,22058,21985,0,1222.6,73,0,0,19,4411.6,4397,0,14.6,126.7,337549,188709,148840,35,19048.1
1242,5206,1997-09-07,128544,24,5356,"C",74,"after_transaction",287,29044.1,1784.1,27260,24550,2110,1784.1,600,0,0,26,5432,4910,422,100,106.6,439478,248018,191460,34,31182.1
1244,5207,1997-02-28,35904,48,748,"C",68,"monthly",296,6975.1,777.7,6197.4,4515,1624,777.7,58.4,0,0,21,1323.6,903,406,14.6,80.6,110878,66980,43898,38,17662.3
1247,5208,1995-03-16,99696,48,2077,"D",25,"monthly",646,2903.2,2727.6,175.6,0,0,2727.6,175.2,0.4,1,27,15,0,0,14.6,66.4,1262509,646462,616047,81,32966.8
1250,5209,1996-11-25,182640,48,3805,"C",62,"monthly",242,1165,938.2,226.8,183,0,938.2,43.8,0,0,13,75.6,61,0,14.6,162.6,367939,195563,172376,27,23898.3
1252,5210,1997-04-01,148140,36,4115,"C",13,"weekly",615,3667.3,3187.3,480,0,0,3187.3,480,0,0,36,30,0,0,30,137.7,1043469,533492,509977,82,26252.2
1256,5212,1995-05-29,71064,36,1974,"A",38,"monthly",403,12256.5,1537.7,10718.8,10602,0,1537.7,116.8,0,0,29,1192.6,1178,0,14.6,139.4,408838,224708,184130,57,31397
1270,5214,1997-07-01,74772,36,2077,"C",55,"after_transaction",389,35700.5,1504.5,34196,33296,0,1504.5,900,0,0,30,4362,4162,0,200,210.8,312187,189028,123159,41,33277.4
1284,5221,1998-12-05,52512,12,4376,"C",55,"monthly",521,3140.4,2979.8,160.6,0,0,2979.8,160.6,0,0,24,14.6,0,0,14.6,170.8,1083642,560929,522713,63,41050
1318,5226,1998-10-11,185544,36,5154,"C",56,"monthly",293,20321.9,923.7,19398.2,17354,2015,923.7,29.2,0,0,12,19383.6,17354,2015,14.6,92.6,244805,138487,106318,23,13694.4
1329,5229,1997-09-06,23520,12,1960,"A",53,"monthly",355,24749.8,1071.6,23678.2,23576,0,1071.6,102.2,0,0,25,3382.6,3368,0,14.6,84.1,251572,146633,104939,38,19101.8
1374,5236,1997-09-15,389136,48,8107,"C",53,"monthly",354,2522.3,2420.1,102.2,0,0,2420.1,102.2,0,0,18,14.6,0,0,14.6,213.1,1189692,633072,556620,44,88469.8
1375,5237,1995-08-29,45336,24,1889,"A",19,"monthly",489,73989.9,2669.3,71320.6,71160,0,2669.3,160.6,0,0,38,5944.6,5930,0,14.6,196.5,609491,358991,250500,52,40939.5
1389,5241,1998-09-02,125472,24,5228,"C",34,"monthly",393,72397.7,2086.5,70311.2,70136,0,2086.5,175.2,0,0,36,6390.6,6376,0,14.6,90.3,989220,537359,451861,61,17273.4
1407,5245,1998-01-17,125472,24,5228,"C",19,"after_transaction",281,122198.3,2342.3,119856,119056,0,2342.3,800,0,0,25,14982,14882,0,100,365,1038732,599199,439533,52,42152.2
1447,5253,1997-06-03,100080,48,2085,"C",65,"monthly",103,218.7,218.7,0,0,0,218.7,0,0,0,3,0,0,0,0,114.1,53524,41624,11900,7,29942.7
1480,5260,1998-01-19,123300,36,3425,"C",41,"weekly",565,3047.2,2747.2,300,0,0,2747.2,300,0,0,24,30,0,0,30,288.7,1191492,619322,572170,66,49599.2
1498,5265,1998-10-07,165780,60,2763,"C",62,"weekly",607,6429.7,6136.5,293.2,0,0,6136.5,270,23.2,2,47,30,0,0,30,518.5,1089671,563596,526075,66,43363.9
1527,5269,1994-11-19,164052,36,4557,"B",31,"after_transaction",367,2984.1,1983.7,1000.4,0,0,1983.7,1000,0.4,1,23,100,0,0,100,111.3,764618,392223,372395,42,20811.2
1528,5270,1997-07-21,191088,48,3981,"C",50,"monthly",408,79407.7,1976.3,77431.4,77300,0,1976.3,131.4,0,0,31,7714.6,7700,0,14.6,135,448847,281347,167500,47,38391.7
1580,5281,1997-11-27,194256,24,8094,"C",69,"monthly",689,4263.4,4000.6,262.8,0,0,4000.6,262.8,0,0,39,14.6,0,0,14.6,274.6,1712573,888289,824284,95,67742.6
1583,5282,1996-08-24,388512,48,8094,"D",69,"after_transaction",646,3606.8,1569,2037.8,0,0,1569,2000,37.8,4,45,100,0,0,100,109.2,874724,456945,417779,75,38697.3
1603,5285,1994-02-06,78936,12,6578,"A",1,"monthly",273,10505,996,9509,9436,0,996,73,0,0,18,2373.6,2359,0,14.6,116.6,155704,94409,61295,33,24601
1638,5287,1998-01-26,64224,24,2676,"C",6,"weekly",440,42602.6,3486.6,39116,38996,0,3486.6,120,0,0,22,9779,9749,0,30,119.5,337682,198482,139200,25,23652.7
1656,5293,1998-10-29,189792,48,3954,"C",47,"monthly",635,197317.8,3276.2,194041.6,193808,0,3276.2,233.6,0,0,52,12127.6,12113,0,14.6,145.5,857504,542935,314569,76,37600.4
1698,5301,1996-07-06,141948,36,3943,"C",68,"monthly",114,345.8,345.8,0,0,0,345.8,0,0,0,3,0,0,0,0,176.6,89294,68094,21200,7,47239.7
1718,5304,1998-08-20,172272,24,7178,"C",71,"monthly",331,89175.3,2351.7,86823.6,86736,0,2351.7,87.6,0,0,22,14470.6,14456,0,14.6,275.5,897836,527436,370400,33,72563.9
1762,5310,1995-04-28,248148,36,6893,"A",28,"monthly",503,33755.8,2520.2,31235.6,9383,21692,2520.2,160.6,0,0,48,2839.6,853,1972,14.6,148.1,620648,345236,275412,72,41108.6
1766,5311,1996-06-15,30060,60,501,"C",28,"monthly",651,78737,3654.8,75082.2,74001,833,3654.8,248.2,0,0,72,4416.6,4353,49,14.6,143.1,825033,472492,352541,114,48523.3
1772,5312,1996-03-13,202788,36,5633,"C",31,"weekly",387,110690.7,2504.7,108186,107946,0,2504.7,240,0,0,29,24018,23988,0,30,211.6,1164465,675885,488580,50,81623.6
1776,5313,1998-05-27,43200,24,1800,"C",36,"monthly",304,29840.3,1217.3,28623,28550,0,1217.3,73,0,0,19,5724.6,5710,0,14.6,165.2,232225,148625,83600,35,37619.2
1787,5314,1993-07-05,96396,12,8033,"B",30,"weekly",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20100,20100,0,4,20100
1801,5316,1993-07-11,165960,36,4610,"A",46,"monthly",148,12088.5,842.7,11245.8,8334,2868,842.7,43.8,0,0,13,5137.6,4167,956,14.6,127.5,395490,229051,166439,24,52208.9
1808,5318,1998-09-30,385584,48,8033,"C",28,"monthly",502,3308.6,3191.8,116.8,0,0,3191.8,116.8,0,0,20,14.6,0,0,14.6,359.8,941162,478098,463064,58,18109
1811,5319,1994-06-23,239460,60,3991,"C",40,"monthly",274,18114.3,1231.9,16882.4,16824,0,1231.9,58.4,0,0,16,4220.6,4206,0,14.6,127.9,427611,239751,187860,30,36240.6
1819,5320,1998-01-11,143676,36,3991,"C",55,"weekly",447,66950.9,2207.9,64743,6762,57771,2207.9,210,0,0,35,9249,966,8253,30,65,359133,219071,140062,37,16473.5
1843,5325,1993-08-03,105804,36,2939,"A",12,"monthly",185,14819,801.8,14017.2,13988,0,801.8,29.2,0,0,9,7008.6,6994,0,14.6,178.1,191508,119508,72000,16,34292.7
1862,5329,1996-10-16,396120,60,6602,"C",19,"weekly",550,4160.3,3770.3,390,0,0,3770.3,390,0,0,30,30,0,0,30,304.3,1460560,772895,687665,65,88610.1
1869,5332,1998-01-29,37944,36,1054,"C",1,"monthly",594,4612.1,4407.7,204.4,0,0,4407.7,204.4,0,0,32,14.6,0,0,14.6,391.1,943512,506112,437400,75,72915.1
1876,5334,1998-09-10,209040,24,8710,"C",1,"monthly",355,18313.7,1908.5,16405.2,16303,0,1908.5,102.2,0,0,25,2343.6,2329,0,14.6,175.8,436043,254022,182021,41,57504.2
1886,5337,1996-07-31,162468,36,4513,"C",32,"monthly",148,820.8,820.8,0,0,0,820.8,0,0,0,4,0,0,0,0,316.8,225418,149618,75800,11,74638.8
1888,5338,1997-08-30,57360,12,4780,"B",6,"monthly",313,25339.1,2589.8,22749.3,3060,19614,2589.8,73,2.3,1,36,3795.9,510,3269,14.6,108.4,599904,317540,282364,39,15016.3
1906,5343,1997-10-08,44952,24,1873,"C",1,"monthly",433,69055.1,2728.7,66326.4,66195,0,2728.7,131.4,0,0,32,7369.6,7355,0,14.6,252.1,779916,447616,332300,57,51718.3
1928,5346,1998-12-06,55632,24,2318,"C",70,"monthly",644,2803.7,2555.5,248.2,0,0,2555.5,248.2,0,0,38,14.6,0,0,14.6,167.3,685786,360964,324822,76,38463.8
1967,5350,1996-04-21,249312,48,5194,"C",26,"weekly",433,87288.7,2124.7,85164,84984,0,2124.7,180,0,0,25,14194,14164,0,30,50.2,512466,325466,187000,35,55426.5
1978,5351,1994-12-04,205200,36,5700,"A",57,"weekly",541,100139.1,4108.1,96031,91013,4628,4108.1,390,0,0,56,7387,7001,356,30,281.8,1092363,619436,472927,73,54586
1993,5352,1995-04-15,68400,12,5700,"B",68,"monthly",167,670.2,670.2,0,0,0,670.2,0,0,0,5,0,0,0,0,147.7,100876,62076,38800,9,23946.1
2000,5354,1998-07-14,290820,60,4847,"C",5,"monthly",342,28771.4,2027.2,26744.2,26544,98,2027.2,102.2,0,0,33,3346.6,3318,14,14.6,177.5,428994,253550,175444,51,53388.9
2018,5358,1997-01-21,38520,12,3210,"A",42,"monthly",597,51624.4,1565.4,50059,49840,0,1565.4,219,0,0,50,3129.6,3115,0,14.6,73.5,218928,140708,78220,64,16514.3
2035,5360,1998-01-25,176328,36,4898,"C",53,"monthly",625,140073.4,3454.4,136619,134464,1936,3454.4,219,0,0,66,8539.6,8404,121,14.6,287.1,1132932,651260,481672,105,36423.3
2051,5363,1997-04-22,293880,60,4898,"D",64,"weekly",531,3421.1,3072.1,349,0,0,3072.1,330,19,1,26,49,0,0,30,7,1012566,504819,507747,64,-204.8
2055,5365,1998-07-19,271260,60,4521,"C",37,"monthly",458,69532.9,946.9,68586,68440,0,946.9,146,0,0,34,6858.6,6844,0,14.6,65.4,277384,178304,99080,39,11584.9
2062,5366,1996-10-29,86184,12,7182,"A",70,"monthly",237,2335.6,1970.8,364.8,321,0,1970.8,43.8,0,0,13,121.6,107,0,14.6,214.1,695159,366607,328552,29,39660.8
2064,5367,1997-08-26,83628,36,2323,"C",54,"monthly",239,797.3,753.5,43.8,0,0,753.5,43.8,0,0,10,14.6,0,0,14.6,90.5,218807,124956,93851,24,31814.7
2073,5368,1998-10-05,44640,24,1860,"C",59,"monthly",417,2199.9,2068.5,131.4,0,0,2068.5,131.4,0,0,22,14.6,0,0,14.6,160.1,450190,243750,206440,45,39246.8
2080,5369,1997-09-12,214596,36,5961,"C",74,"monthly",138,892.1,892.1,0,0,0,892.1,0,0,0,4,0,0,0,0,187.7,457622,271622,186000,13,86514.1
2106,5375,1996-10-03,101520,12,8460,"A",1,"monthly",245,14814.6,884.2,13930.4,13872,0,884.2,58.4,0,0,16,3482.6,3468,0,14.6,78.4,189247,109507,79740,22,16720.8
2116,5377,1997-08-04,92400,12,7700,"A",70,"monthly",459,17085.5,2533.3,14552.2,14377,0,2533.3,175.2,0,0,38,1321.6,1307,0,14.6,143.7,939012,498760,440252,66,46489
2134,5382,1997-03-17,22932,36,637,"C",52,"monthly",223,13634.7,1118.9,12515.8,12472,0,1118.9,43.8,0,0,14,3132.6,3118,0,14.6,198,171015,114251,56764,27,49849.1
2142,5384,1998-03-07,23328,12,1944,"C",42,"monthly",187,20463.4,898.2,19565.2,19536,0,898.2,29.2,0,0,10,19550.6,19536,0,14.6,185.7,194595,120535,74060,17,27807.9
2143,5385,1996-09-09,71460,36,1985,"C",1,"monthly",240,23375.5,1539.7,21835.8,21792,0,1539.7,43.8,0,0,13,7278.6,7264,0,14.6,232.7,290745,180345,110400,18,49648.9
2153,5388,1996-11-28,61560,12,5130,"A",31,"weekly",326,27315.2,1638.2,25677,12159,13338,1638.2,180,0,0,29,3990,1737,2223,30,79.1,664182,354136,310046,42,20051.1
2165,5389,1997-08-22,78600,24,3275,"C",51,"monthly",136,688.7,688.7,0,0,0,688.7,0,0,0,4,0,0,0,0,270.6,153970,110170,43800,10,67058.7
2167,5390,1994-10-30,170256,24,7094,"A",16,"monthly",448,61525.7,2174.3,59351.4,59220,0,2174.3,131.4,0,0,32,5936.6,5922,0,14.6,188.5,638360,369420,268940,45,43302.8
2176,5395,1994-07-30,299088,36,8308,"B",67,"monthly",419,15642.9,2462.3,13180.6,13020,0,2462.3,160.6,0,0,36,1099.6,1085,0,14.6,117.1,1590427,810297,780130,90,19448.5
2187,5398,1997-11-04,53472,12,4456,"A",9,"weekly",617,5365.4,4825.4,540,0,0,4825.4,540,0,0,38,30,0,0,30,366.2,1947835,1003917,943918,96,64314.3
2218,5409,1995-11-18,182040,60,3034,"C",19,"monthly",362,2806,2703.8,102.2,0,0,2703.8,102.2,0,0,18,14.6,0,0,14.6,281.9,1032042,534094,497948,41,38747.5
2227,5413,1995-12-12,92976,24,3874,"A",31,"weekly",569,150664.9,3088.9,147576,147246,0,3088.9,330,0,0,38,26802,26772,0,30,220.1,1161637,663828,497809,71,21531.8
2228,5414,1995-03-29,185952,48,3874,"C",34,"monthly",375,6759.1,2134.1,4625,4625,0,2134.1,0,0,0,11,4625,4625,0,0,193.2,410876,247876,163000,23,82385.2
2236,5415,1996-09-26,139464,36,3874,"D",73,"monthly",396,1549.2,1549.2,0,0,0,1549.2,0,0,0,12,0,0,0,0,166.3,250514,145314,105200,19,41662.8
2245,5418,1995-01-16,347952,48,7249,"C",29,"monthly",657,4374.4,4170,204.4,0,0,4170,204.4,0,0,33,14.6,0,0,14.6,229.4,1608597,831089,777508,87,57546.3
2246,5419,1997-02-05,415800,60,6930,"C",1,"monthly",286,1497.5,1424.5,73,0,0,1424.5,73,0,0,13,14.6,0,0,14.6,60,459129,235629,223500,24,13480.4
2247,5420,1997-02-24,72504,24,3021,"C",24,"monthly",317,12878,1487.6,11390.4,5328,5931,1487.6,131.4,0,0,37,1265.6,592,659,14.6,91.1,728533,377770,350763,62,17104.4
2262,5428,1998-12-02,230220,36,6395,"C",13,"monthly",662,5485.2,5193.2,292,0,0,5193.2,292,0,0,42,14.6,0,0,14.6,274.7,2384500,1213528,1170972,111,94156.9
2268,5429,1996-07-18,20196,36,561,"C",1,"monthly",523,78076,3254.8,74821.2,74646,0,3254.8,175.2,0,0,41,5756.6,5742,0,14.6,278.4,738051,437651,300400,55,65684.6
2279,5435,1998-06-01,314688,48,6556,"C",2,"weekly",579,4644.7,4194.7,450,0,0,4194.7,450,0,0,34,30,0,0,30,243.8,1584062,811729,772333,73,43140.7
2322,5445,1996-06-29,46320,24,1930,"A",33,"monthly",544,73138.1,2856.5,70281.6,53744,16304,2856.5,233.6,0,0,65,4392.6,3359,1019,14.6,67.9,1362302,726640,635662,113,26652.7
2334,5446,1997-08-04,48312,24,2013,"C",50,"monthly",503,130635.7,1976.5,128659.2,128484,0,1976.5,175.2,0,0,40,10721.6,10707,0,14.6,173.4,401865,284865,117000,54,41196.7
